order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,order_status
O00001,C0078,P007,2025-05-27,2,199,15,CANCELLED
O00002,C0033,P029,2025-03-14,1,249,5,PLACED
O00003,C0001,P011,2025-04-03,3,149,10,RETURNED
O00004,C0055,P018,2025-03-03,1,99,0,RETURNED
O00005,C0005,P027,2025-06-03,5,499,0,CANCELLED
O00006,C0017,P002,2025-05-18,3,99,5,SHIPPED
O00007,C0032,P022,2025-03-27,3,499,10,RETURNED
O00008,C0020,P030,2025-04-30,2,149,10,PLACED
O00009,C0023,P024,2025-05-25,4,149,5,SHIPPED
O00010,C0014,P013,2025-03-10,4,149,0,CANCELLED
O00011,C0045,P010,2025-04-28,2,99,0,CANCELLED
O00012,C0043,P009,2025-03-18,3,199,15,CANCELLED
O00013,C0069,P011,2025-03-08,1,199,0,RETURNED
O00014,C0034,P002,2025-03-28,5,249,5,DELIVERED
O00015,C0056,P020,2025-07-09,1,249,15,SHIPPED
O00016,C0033,P002,2025-06-20,1,499,15,SHIPPED
O00017,C0047,P014,2025-03-18,3,499,5,PLACED
O00018,C0039,P017,2025-05-19,4,199,10,DELIVERED
O00019,C0071,P005,2025-04-19,4,249,0,RETURNED
O00020,C0073,P010,2025-06-12,5,99,5,DELIVERED
O00021,C0027,P014,2025-07-27,5,199,10,CANCELLED
O00022,C0057,P022,2025-04-24,5,249,0,PLACED
O00023,C0037,P017,2025-08-17,5,199,0,SHIPPED
O00024,C0040,P008,2025-04-20,2,99,0,SHIPPED
O00025,C0061,P020,2025-03-19,4,249,15,SHIPPED
O00026,C0050,P016,2025-06-11,2,149,0,PLACED
O00027,C0055,P008,2025-04-15,5,249,0,RETURNED
O00028,C0032,P030,2025-04-01,4,149,10,RETURNED
O00029,C0072,P020,2025-05-21,4,499,15,CANCELLED
O00030,C0071,P015,2025-04-10,4,249,5,SHIPPED
O00031,C0036,P025,2025-07-12,-2,249,0,DELIVERED
O00032,C0057,P003,2025-05-13,2,199,5,DELIVERED
O00033,C0070,P003,2025-04-05,2,149,10,SHIPPED
O00034,C0028,P003,2025-06-15,4,199,15,CANCELLED
O00035,C0054,P002,2025-04-22,4,249,15,PLACED
O00036,C0074,P013,2025-07-01,1,199,5,CANCELLED
O00037,C0054,P018,2025-07-18,5,149,10,SHIPPED
O00038,C0035,P014,2025-07-03,1,249,5,CANCELLED
O00039,C0022,P027,2025-06-28,2,499,15,PLACED
O00040,C0051,P019,2025-07-23,1,99,10,SHIPPED
O00041,C0060,P006,2025-03-13,3,249,5,SHIPPED
O00042,C0059,P011,2025-05-26,4,199,10,DELIVERED
O00043,C0011,P016,2025-03-05,5,99,5,SHIPPED
O00044,C0009,P025,2025-08-14,1,99,0,SHIPPED
O00045,C0003,P020,2025-04-09,2,149,10,PLACED
O00046,C0073,P007,2025-06-28,3,199,0,UNKNOWN
O00047,C0078,P020,2025-03-30,2,199,0,RETURNED
O00048,C0004,P030,2025-05-19,5,249,10,SHIPPED
O00049,C0010,P019,2025-08-24,2,99,5,RETURNED
O00050,C0016,P026,2025-07-23,1,199,15,CANCELLED
O00051,C0048,P003,2025-07-08,3,99,10,CANCELLED
O00052,C0014,P014,2025-06-01,4,149,10,SHIPPED
O00053,C0067,P021,2025-05-09,5,499,10,CANCELLED
O00054,C0056,P027,2025-07-30,3,199,0,PLACED
O00055,C0036,P029,2025-06-24,2,249,15,RETURNED
O00056,C0049,P011,2025-03-08,4,199,0,CANCELLED
O00057,C0028,P012,2025-05-06,3,199,15,DELIVERED
O00058,C0072,P001,2025-07-11,2,99,0,CANCELLED
O00059,C0063,P018,2025-05-01,4,249,10,PLACED
O00060,C0012,P010,2025-04-26,4,149,5,RETURNED
O00061,C0048,P016,2025-07-20,5,199,10,RETURNED
O00062,C0043,P012,2025-08-27,4,199,5,DELIVERED
O00063,C0030,P004,2025-04-19,3,99,15,SHIPPED
O00064,C0025,P007,2025-07-02,3,499,15,RETURNED
O00065,C0037,P004,2025-04-19,3,149,5,SHIPPED
O00066,C0039,P001,2025-07-15,2,199,0,PLACED
O00067,C0071,P010,2025-08-26,2,249,0,PLACED
O00068,C0074,P010,2025-06-29,4,249,5,SHIPPED
O00069,C0007,P009,2025-07-01,1,99,10,CANCELLED
O00070,C0010,P019,2025-08-09,1,149,0,RETURNED
O00071,C0039,P003,2025-05-03,1,499,10,RETURNED
O00072,C0077,P026,2025-08-06,2,499,10,CANCELLED
O00073,C0057,P010,2025-07-29,4,199,15,RETURNED
O00074,C0008,P020,2025-03-26,2,149,5,PLACED
O00075,C0021,P008,2025-04-14,5,99,0,PLACED
O00076,C0053,P015,2025-08-24,5,249,5,PLACED
O00077,C0030,P010,2025-08-28,3,249,0,SHIPPED
O00078,C0034,P026,2025-08-08,5,149,10,PLACED
O00079,C0070,P008,2025-08-13,2,199,0,PLACED
O00080,C0008,P006,2025-05-18,5,499,5,CANCELLED
O00081,C0016,P015,2025-08-24,3,249,5,RETURNED
O00082,C0070,P016,2025-06-21,1,499,0,CANCELLED
O00083,C0042,P020,2025-05-04,1,99,0,RETURNED
O00084,C0076,P001,2025-08-20,3,499,0,SHIPPED
O00085,C0061,P017,2025-08-14,4,199,0,RETURNED
O00086,C0056,P021,2025-07-04,1,249,5,CANCELLED
O00087,C0043,P011,2025-08-19,1,149,5,CANCELLED
O00088,C0064,P010,2025-08-17,4,499,0,CANCELLED
O00089,C0012,P011,2025-05-04,3,99,10,RETURNED
O00090,C0001,P022,2025-07-17,4,249,0,SHIPPED
O00091,C0067,P012,2025-08-07,4,249,0,SHIPPED
O00092,C0035,P018,2025-04-03,3,249,10,PLACED
O00093,C0004,P021,2025-08-03,2,149,5,RETURNED
O00094,C0002,P018,2025-06-13,1,149,0,CANCELLED
O00095,C0016,P021,2025-04-09,4,199,15,DELIVERED
O00096,C0054,P027,2025-07-02,4,149,10,RETURNED
O00097,C0019,P013,2025-04-18,5,499,0,PLACED
O00098,C0036,P025,2025-06-15,3,499,5,PLACED
O00099,C0037,P024,2025-05-16,5,499,10,SHIPPED
O00100,C0058,P018,2025-07-02,3,199,15,RETURNED
O00101,C0049,P015,2025-05-22,2,149,15,CANCELLED
O00102,C0030,P028,2025-06-14,1,199,10,CANCELLED
O00103,C0050,P022,2025-08-14,2,249,0,SHIPPED
O00104,C0065,P019,2025-05-24,1,249,0,RETURNED
O00105,C0059,P001,2025-04-06,4,149,0,CANCELLED
O00106,C0034,P011,2025-08-07,4,99,5,RETURNED
O00107,C0049,P011,2025-08-08,4,499,0,RETURNED
O00108,C0009,P008,2025-08-09,3,149,0,CANCELLED
O00109,C0013,P025,2025-08-10,1,249,0,DELIVERED
O00110,C0004,P002,2025-05-23,1,199,5,DELIVERED
O00111,C0056,P005,2025-05-02,5,249,15,SHIPPED
O00112,C0022,P006,2025-03-21,5,249,15,SHIPPED
O00113,C0064,P030,2025-07-28,2,149,10,DELIVERED
O00114,C0059,P009,2025-08-18,1,249,5,RETURNED
O00115,C0021,P003,2025-06-22,3,499,5,CANCELLED
O00116,C0033,P015,2025-05-17,2,249,10,PLACED
O00117,C0031,P013,2025-07-25,3,499,5,DELIVERED
O00118,C0003,P027,2025-08-16,4,199,0,RETURNED
O00119,C0007,P030,2025-08-03,4,199,0,RETURNED
O00120,C0046,P008,2025-08-10,2,499,5,SHIPPED
O00121,C0013,P029,2025-08-08,1,199,10,PLACED
O00122,C0075,P012,2025-04-03,1,199,5,CANCELLED
O00123,C0023,P007,2025-04-03,5,199,15,RETURNED
O00124,C0035,P027,2025-04-12,3,249,5,DELIVERED
O00125,C0015,P015,2025-03-20,2,149,10,RETURNED
O00126,C0047,P003,2025-06-10,1,199,15,PLACED
O00127,C0059,P012,2025-08-20,3,499,10,DELIVERED
O00128,C0014,P022,2025-04-29,4,99,15,RETURNED
O00129,C0042,P030,2025-08-04,2,99,10,DELIVERED
O00130,C0053,P004,2025-04-05,1,99,5,CANCELLED
O00131,C0015,P004,2025-04-30,5,149,10,CANCELLED
O00132,C0048,P022,2025-08-26,5,249,15,SHIPPED
O00133,C0054,P021,2025-03-26,4,499,10,DELIVERED
O00134,C0005,P023,2025-06-03,2,249,10,SHIPPED
O00135,C0047,P004,2025-08-23,3,499,5,PLACED
O00136,C0051,P009,2025-04-18,1,249,0,SHIPPED
O00137,C0077,P001,2025-03-13,3,149,0,RETURNED
O00138,C0027,P003,2025-07-20,2,499,0,SHIPPED
O00139,C0043,P025,2025-04-07,5,99,5,SHIPPED
O00140,C0017,P018,2025-05-04,2,99,0,SHIPPED
O00141,C0002,P012,2025-04-30,5,199,0,SHIPPED
O00142,C0034,P002,2025-04-02,4,499,0,PLACED
O00143,C0061,P015,2025-06-01,5,499,0,CANCELLED
O00144,C0065,P008,2025-08-05,1,499,5,CANCELLED
O00145,C0004,P002,2025-07-01,4,249,0,CANCELLED
O00146,C0057,P003,2025-03-21,3,499,0,PLACED
O00147,C0017,P009,2025-08-07,5,499,5,CANCELLED
O00148,C0077,P017,2025-05-15,4,499,15,CANCELLED
O00149,C0013,P026,2025-08-27,1,499,0,CANCELLED
O00150,C0058,P029,2025-04-28,4,199,10,CANCELLED
O00151,C0054,P024,2025-03-25,3,249,5,DELIVERED
O00152,C0048,P005,2025-08-23,4,99,0,PLACED
O00153,C0012,P014,2025-03-25,3,149,15,PLACED
O00154,C0076,P018,2025-07-22,3,99,10,DELIVERED
O00155,C0055,P028,2025-03-14,3,499,5,DELIVERED
O00156,C0014,P019,2025-07-08,2,149,10,SHIPPED
O00157,C0014,P012,2025-07-21,3,99,5,RETURNED
O00158,C0029,P026,2025-06-18,5,499,15,RETURNED
O00159,C0004,P020,2025-08-16,3,99,0,DELIVERED
O00160,C0040,P030,2025-05-26,3,99,0,SHIPPED
O00161,C0073,P022,2025-06-11,1,149,0,PLACED
O00162,C0068,P007,2025-06-05,4,249,5,SHIPPED
O00163,C0048,P010,2025-05-23,5,499,0,PLACED
O00164,C0020,P006,2025-08-06,1,99,5,CANCELLED
O00165,C0055,P016,2025-08-03,4,249,5,SHIPPED
O00166,C0066,P004,2025-05-28,4,99,5,RETURNED
O00167,C0063,P017,2025-08-18,3,99,0,CANCELLED
O00168,C0077,P002,2025-03-02,2,199,0,SHIPPED
O00169,C0033,P010,2025-05-23,1,99,10,CANCELLED
O00170,C0023,P005,2025-06-06,5,149,15,RETURNED
O00171,C0046,P003,2025-06-10,1,249,0,CANCELLED
O00172,C0010,P028,2025-05-20,5,249,15,CANCELLED
O00173,C0054,P010,2025-03-30,4,99,5,SHIPPED
O00174,C0080,P015,2025-08-24,3,99,10,PLACED
O00175,C0032,P014,2025-07-29,4,499,0,CANCELLED
O00176,C0040,P024,2025-05-26,2,199,0,PLACED
O00177,C0066,P021,2025-03-30,5,499,0,DELIVERED
O00178,C0045,P024,2025-08-13,2,149,0,SHIPPED
O00179,C0033,P007,2025-04-14,5,149,0,SHIPPED
O00180,C0064,P015,2025-07-23,5,249,15,RETURNED
O00181,C0042,P028,2025-08-08,3,149,10,PLACED
O00182,C0061,P015,2025-08-09,3,199,15,PLACED
O00183,C0046,P017,2025-03-19,3,249,10,PLACED
O00184,C0008,P012,2025-05-13,1,99,15,RETURNED
O00185,C0065,P013,2025-06-27,5,499,0,CANCELLED
O00186,C0074,P021,2025-04-18,3,499,10,RETURNED
O00187,C0020,P002,2025-06-24,1,199,0,RETURNED
O00188,C0023,P002,2025-05-03,4,249,15,RETURNED
O00189,C0079,P006,2025-06-02,3,199,10,CANCELLED
O00190,C0044,P022,2025-08-01,1,199,0,DELIVERED
O00191,C0013,P018,2025-08-21,4,199,5,RETURNED
O00192,C0020,P011,2025-03-21,5,149,5,DELIVERED
O00193,C0051,P005,2025-07-31,1,199,15,CANCELLED
O00194,C0043,P027,2025-04-02,5,99,10,RETURNED
O00195,C0047,P001,2025-06-01,3,149,0,DELIVERED
O00196,C0063,P007,2025-04-27,2,149,0,DELIVERED
O00197,C0013,P017,2025-07-17,5,99,5,RETURNED
O00198,C0017,P020,2025-06-05,2,149,0,RETURNED
O00199,C0022,P024,2025-06-21,1,249,5,SHIPPED
O00200,C0057,P020,2025-05-12,4,149,15,SHIPPED
O00201,C0040,P026,2025-06-29,2,199,15,CANCELLED
O00202,C0060,P025,2025-05-12,4,499,15,CANCELLED
O00203,C0021,P027,2025-04-21,5,149,5,PLACED
O00204,C0062,P028,2025-06-04,5,99,15,PLACED
O00205,C0037,P003,2025-04-11,3,249,15,SHIPPED
O00206,C0056,P003,2025-04-26,4,199,0,CANCELLED
O00207,C0007,P013,2025-07-07,3,149,10,PLACED
O00208,C0048,P008,2025-03-08,3,99,5,SHIPPED
O00209,C0018,P002,2025-05-13,4,149,10,CANCELLED
O00210,C0079,P001,2025-03-21,1,199,0,SHIPPED
O00211,C0071,P024,2025-08-03,5,249,0,DELIVERED
O00212,C0031,P010,2025-04-01,1,149,10,RETURNED
O00213,C0059,P003,2025-03-29,4,499,15,PLACED
O00214,C0066,P019,2025-05-01,2,199,10,PLACED
O00215,C0079,P012,2025-05-01,5,249,0,PLACED
O00216,C0068,P012,2025-03-18,5,499,15,RETURNED
O00217,C0071,P001,2025-06-08,4,99,10,DELIVERED
O00218,C0033,P024,2025-03-05,3,99,5,SHIPPED
O00219,C0014,P025,2025-07-27,3,149,0,DELIVERED
O00220,C0070,P011,2025-08-12,2,249,10,SHIPPED
O00221,C0018,P003,2025-06-26,1,199,0,PLACED
O00222,C0026,P029,2025-03-11,3,199,15,CANCELLED
O00223,C0070,P016,2025-05-04,1,149,5,DELIVERED
O00224,C0007,P028,2025-08-15,3,199,0,DELIVERED
O00225,C0056,P029,2025-06-11,4,249,5,SHIPPED
O00226,C0064,P023,2025-07-06,3,499,5,PLACED
O00227,C0055,P003,2025-06-19,5,149,15,DELIVERED
O00228,C0042,P004,2025-03-21,3,199,5,CANCELLED
O00229,C0078,P023,2025-06-18,2,249,5,CANCELLED
O00230,C0006,P024,2025-05-30,5,249,5,PLACED
O00231,C0010,P022,2025-08-11,4,199,15,SHIPPED
O00232,C0004,P005,2025-08-03,4,99,0,PLACED
O00233,C0031,P025,2025-08-13,3,199,10,RETURNED
O00234,C0005,P020,2025-04-09,4,199,5,CANCELLED
O00235,C0010,P019,2025-04-05,5,199,10,DELIVERED
O00236,C0036,P008,2025-03-30,1,149,10,RETURNED
O00237,C0050,P030,2025-07-22,1,199,5,CANCELLED
O00238,C0028,P020,2025-05-13,4,149,0,SHIPPED
O00239,C0010,P015,2025-04-14,4,99,5,DELIVERED
O00240,C0009,P018,2025-07-17,3,199,0,SHIPPED
O00241,C0047,P017,2025-04-27,1,149,0,SHIPPED
O00242,C0064,P001,2025-06-01,5,499,5,CANCELLED
O00243,C0071,P005,2025-08-04,1,99,5,CANCELLED
O00244,C0062,P017,2025-06-14,4,499,0,SHIPPED
O00245,C0041,P021,2025-03-19,4,249,15,DELIVERED
O00246,C0017,P029,2025-07-20,5,149,0,CANCELLED
O00247,C0065,P030,2025-03-15,1,499,0,DELIVERED
O00248,C0022,P006,2025-05-22,2,199,15,DELIVERED
O00249,C0011,P009,2025-04-20,5,199,0,DELIVERED
O00250,C0079,P018,2025-03-24,5,149,15,RETURNED
O00251,C0020,P006,2025-08-16,5,499,5,RETURNED
O00252,C0006,P027,2025-03-08,1,99,15,DELIVERED
O00253,C0027,P025,2025-07-25,4,499,0,CANCELLED
O00254,C0070,P010,2025-08-12,3,249,0,CANCELLED
O00255,C0039,P015,2025-03-19,1,149,10,CANCELLED
O00256,C0062,P015,2025-04-22,3,499,0,DELIVERED
O00257,C0041,P024,2025-05-28,4,149,5,RETURNED
O00258,C0072,P004,2025-05-21,2,249,0,DELIVERED
O00259,C0058,P008,2025-04-06,1,99,5,CANCELLED
O00260,C0079,P014,2025-05-03,2,199,15,DELIVERED
O00261,C0025,P025,2025-04-10,4,499,10,CANCELLED
O00262,C0040,P016,2025-03-06,1,249,15,CANCELLED
O00263,C0031,P007,2025-07-28,3,99,0,DELIVERED
O00264,C0064,P020,2025-08-15,4,199,15,PLACED
O00265,C0014,P014,2025-04-04,3,199,10,DELIVERED
O00266,C0006,P013,2025-03-14,5,499,0,DELIVERED
O00267,C0071,P010,2025-03-19,4,499,10,RETURNED
O00268,C0036,P027,2025-08-07,5,99,0,PLACED
O00269,C0051,P012,2025-05-26,5,199,0,SHIPPED
O00270,C0078,P017,2025-06-11,5,99,0,PLACED
O00271,C0018,P023,2025-05-25,4,499,10,SHIPPED
O00272,C0078,P029,2025-07-10,2,199,15,DELIVERED
O00273,C0021,P013,2025-08-05,3,499,5,RETURNED
O00274,C0066,P018,2025-07-04,5,199,10,PLACED
O00275,C0048,P011,2025-08-20,1,249,15,DELIVERED
O00276,C0004,P020,2025-06-30,3,499,15,SHIPPED
O00277,C0007,P019,2025-07-01,2,499,15,CANCELLED
O00278,C0019,P027,2025-08-22,2,99,15,PLACED
O00279,C0025,P001,2025-06-21,3,249,0,CANCELLED
O00280,C0027,P014,2025-07-07,5,249,0,SHIPPED
O00281,C0067,P007,2025-07-22,3,249,15,CANCELLED
O00282,C0041,P006,2025-06-26,5,199,15,DELIVERED
O00283,C0034,P020,2025-07-02,2,149,5,RETURNED
O00284,C0039,P008,2025-05-16,3,149,10,DELIVERED
O00285,C0062,P012,2025-07-22,3,199,0,RETURNED
O00286,C0070,P013,2025-06-10,3,149,5,PLACED
O00287,C0037,P023,2025-03-21,3,249,5,CANCELLED
O00288,C0028,P007,2025-07-16,3,499,5,SHIPPED
O00289,C0014,P020,2025-07-29,2,149,0,RETURNED
O00290,C0029,P021,2025-04-29,1,99,10,DELIVERED
O00291,C0061,P004,2025-08-22,2,99,15,SHIPPED
O00292,C0053,P021,2025-06-30,4,149,5,DELIVERED
O00293,C0037,P021,2025-03-16,1,499,0,RETURNED
O00294,C0005,P030,2025-04-14,4,149,0,CANCELLED
O00295,C0064,P006,2025-05-14,1,99,5,RETURNED
O00296,C0078,P004,2025-05-25,3,249,15,RETURNED
O00297,C0064,P029,2025-04-04,5,249,5,SHIPPED
O00298,C0015,P011,2025-04-11,4,199,0,PLACED
O00299,C0044,P026,2025-05-15,5,149,0,RETURNED
O00300,C0052,P027,2025-06-18,5,199,0,CANCELLED
O00301,C0013,P006,2025-04-05,4,199,0,PLACED
O00302,C0034,P013,2025-04-30,4,199,5,DELIVERED
O00303,C0075,P024,2025-07-25,1,199,5,SHIPPED
O00304,C0008,P022,2025-03-31,4,199,0,CANCELLED
O00305,C0065,P030,2025-08-28,3,99,5,DELIVERED
O00306,C0079,P008,2025-04-26,2,249,0,CANCELLED
O00307,C0078,P012,2025-06-15,5,249,15,SHIPPED
O00308,C0032,P022,2025-07-31,1,499,10,RETURNED
O00309,C0047,P003,2025-07-23,1,99,15,RETURNED
O00310,C0026,P019,2025-07-16,2,149,5,RETURNED
O00311,C0057,P004,2025-08-22,2,499,10,PLACED
O00312,C0066,P015,2025-03-15,4,149,15,CANCELLED
O00313,C0059,P019,2025-03-15,5,249,5,PLACED
O00314,C0051,P009,2025-03-01,2,499,0,PLACED
O00315,C0055,P012,2025-08-27,1,499,0,PLACED
O00316,C0061,P002,2025-05-13,4,149,0,CANCELLED
O00317,C0048,P029,2025-06-06,4,249,10,PLACED
O00318,C0070,P005,2025-08-15,3,99,0,RETURNED
O00319,C0051,P017,2025-04-02,2,99,0,DELIVERED
O00320,C0060,P022,2025-07-18,4,499,10,SHIPPED
O00321,C0032,P015,2025-05-28,2,199,0,PLACED
O00322,C0005,P026,2025-08-17,4,499,0,SHIPPED
O00323,C0027,P003,2025-03-26,5,99,10,RETURNED
O00324,C0007,P008,2025-03-12,4,249,0,RETURNED
O00325,C0028,P025,2025-03-15,2,499,5,SHIPPED
O00326,C0074,P011,2025-07-26,5,199,0,DELIVERED
O00327,C0019,P022,2025-07-12,2,249,5,DELIVERED
O00328,C0008,P018,2025-07-30,2,249,15,CANCELLED
O00329,C0007,P012,2025-08-12,4,499,5,CANCELLED
O00330,C0053,P005,2025-05-16,4,149,15,CANCELLED
O00331,C0031,P028,2025-04-27,3,149,10,PLACED
O00332,C0072,P014,2025-06-15,5,499,0,CANCELLED
O00333,C0032,P009,2025-04-22,3,99,10,DELIVERED
O00334,C0012,P018,2025-04-18,1,199,10,RETURNED
O00335,C0078,P002,2025-03-19,2,499,15,SHIPPED
O00336,C0062,P007,2025-05-25,3,99,0,SHIPPED
O00337,C0016,P024,2025-07-01,2,499,0,CANCELLED
O00338,C0031,P018,2025-05-22,3,249,10,RETURNED
O00339,C0046,P010,2025-05-06,3,499,10,CANCELLED
O00340,C0013,P026,2025-06-29,3,149,5,DELIVERED
O00341,C0053,P002,2025-07-23,2,149,0,DELIVERED
O00342,C0071,P030,2025-07-28,5,249,5,SHIPPED
O00343,C0026,P011,2025-04-28,4,499,0,CANCELLED
O00344,C0071,P021,2025-08-23,3,199,10,CANCELLED
O00345,C0059,P006,2025-05-30,2,149,15,CANCELLED
O00346,C0024,P030,2025-07-17,1,499,0,PLACED
O00347,C0007,P025,2025-03-02,4,149,0,PLACED
O00348,C0020,P001,2025-04-25,5,249,5,PLACED
O00349,C0080,P021,2025-08-18,5,249,10,PLACED
O00350,C0001,P018,2025-07-20,4,99,0,RETURNED
O00351,C0036,P018,2025-05-13,1,499,10,SHIPPED
O00352,C0014,P030,2025-03-25,5,149,0,SHIPPED
O00353,C0080,P017,2025-05-04,3,199,10,PLACED
O00354,C0048,P013,2025-06-26,5,149,0,DELIVERED
O00355,C0011,P021,2025-08-14,1,99,10,CANCELLED
O00356,C0049,P018,2025-06-30,1,99,0,PLACED
O00357,C0064,P028,2025-06-20,3,499,0,RETURNED
O00358,C0006,P008,2025-04-24,5,249,5,PLACED
O00359,C0010,P022,2025-05-11,5,499,0,SHIPPED
O00360,C0041,P001,2025-04-23,5,149,10,PLACED
O00361,C0039,P006,2025-07-23,2,499,10,RETURNED
O00362,C0043,P013,2025-04-05,1,499,5,PLACED
O00363,C0013,P014,2025-04-29,1,199,15,RETURNED
O00364,C0077,P013,2025-05-23,1,199,10,CANCELLED
O00365,C0030,P012,2025-07-20,4,249,0,RETURNED
O00366,C0049,P003,2025-08-06,3,149,0,PLACED
O00367,C0035,P005,2025-06-06,2,249,5,DELIVERED
O00368,C0014,P003,2025-03-02,3,249,5,DELIVERED
O00369,C0014,P005,2025-03-23,2,249,10,RETURNED
O00370,C0072,P017,2025-06-13,1,99,0,DELIVERED
O00371,C0071,P003,2025-07-31,5,199,10,PLACED
O00372,C0038,P014,2025-06-08,1,499,0,RETURNED
O00373,C0067,P006,2025-08-23,4,149,0,DELIVERED
O00374,C0039,P009,2025-07-05,2,99,0,CANCELLED
O00375,C0036,P014,2025-05-16,4,99,5,DELIVERED
O00376,C0032,P024,2025-08-08,4,499,15,SHIPPED
O00377,C0059,P004,2025-04-04,3,99,10,DELIVERED
O00378,C0080,P013,2025-05-24,4,199,10,RETURNED
O00379,C0018,P010,2025-05-22,5,149,10,DELIVERED
O00380,C0023,P013,2025-05-21,3,249,15,SHIPPED
O00381,C0042,P013,2025-05-11,4,199,0,RETURNED
O00382,C0026,P019,2025-07-18,2,499,0,CANCELLED
O00383,C0027,P015,2025-05-14,1,249,10,SHIPPED
O00384,C0039,P008,2025-05-04,2,249,10,PLACED
O00385,C0058,P020,2025-07-01,5,249,15,RETURNED
O00386,C0054,P018,2025-03-10,3,499,15,PLACED
O00387,C0014,P025,2025-05-03,3,149,15,PLACED
O00388,C0073,P021,2025-08-21,4,199,10,PLACED
O00389,C0002,P004,2025-05-06,2,499,15,RETURNED
O00390,C0075,P023,2025-07-26,2,249,5,CANCELLED
O00391,C0060,P025,2025-08-21,5,499,0,DELIVERED
O00392,C0004,P016,2025-03-27,3,249,0,PLACED
O00393,C0019,P012,2025-05-19,3,249,0,RETURNED
O00394,C0062,P012,2025-06-30,1,249,10,DELIVERED
O00395,C0009,P010,2025-03-12,1,99,5,PLACED
O00396,C0022,P030,2025-05-02,5,149,15,SHIPPED
O00397,C0043,P018,2025-06-18,4,149,10,SHIPPED
O00398,C0024,P021,2025-08-16,4,249,0,RETURNED
O00399,C0026,P015,2025-07-30,4,249,0,SHIPPED
O00400,C0027,P009,2025-08-28,1,499,0,RETURNED
